kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
aux_loss,sparse,-,4096,2304,36,softmax,0,float32,forward,3.907290344238281,0.2762396812438965,0.07069852939166436,31.398586025456193,444.11936564494096
aux_loss,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.05626560211181641,0.0742742395401001,1.3200647776326146,2012.7076535135313,1524.7037021342944
aux_loss,sparse,-,16384,256,8,softmax,0,float32,forward,0.0689299201965332,0.2394700813293457,3.474109365665416,791.0346021660179,227.69421423050292
aux_loss,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.00980672001838684,0.03108191967010498,3.169451112281047,5132.363104649879,1619.322375651388
aux_loss,sparse,-,16384,384,6,softmax,0,float32,forward,0.06623295783996581,0.35858848571777346,5.414049099003043,1234.8675141101355,228.08576197388516
aux_loss,sparse,-,16384,384,6,softmax,0,float32,backward_raw,0.013681600093841553,0.050760960578918456,3.7101625709530346,5518.175614121581,1487.3136981445318
aux_loss,sparse,-,16384,512,10,softmax,0,float32,forward,0.17747200012207032,0.3835532760620117,2.1612044480154213,614.473854608,284.32009529327763
aux_loss,sparse,-,16384,512,10,softmax,0,float32,backward_raw,0.02219615936279297,0.06690783977508545,3.01438815073755,4535.1672942455125,1504.5067414877756
aux_loss,sparse,-,16384,512,22,softmax,0,float32,forward,0.6790745544433594,0.38629825592041017,0.5688598599266625,160.5890005544242,282.29975758023664
aux_loss,sparse,-,16384,512,22,softmax,0,float32,backward_raw,0.022197439670562744,0.06692575931549072,3.0150215659441426,4534.905714080853,1504.1039060232276
aux_loss,sparse,-,16384,896,16,softmax,0,float32,forward,0.657031021118164,0.49000160217285155,0.7457815330225132,290.4593936450957,389.4698122490619
aux_loss,sparse,-,16384,896,16,softmax,0,float32,backward_raw,0.04978079795837402,0.11840767860412597,2.3785813699317706,3538.7292937188968,1487.7478393015433
aux_loss,sparse,-,16384,2304,16,softmax,0,float32,forward,2.218458557128906,0.9990908813476562,0.4503536377261263,221.2047488663027,491.180108998751
aux_loss,sparse,-,16384,2304,16,softmax,0,float32,backward_raw,0.19520544052124023,0.3129411125183105,1.603137247008541,2320.554339010397,1447.5082176155277
aux_loss,sparse,-,16384,2304,36,softmax,0,float32,forward,11.965859375,1.0736463928222657,0.08972580733026253,41.01114283736934,457.07187327293275
aux_loss,sparse,-,16384,2304,36,softmax,0,float32,backward_raw,0.1952409553527832,0.3130396842956543,1.6033505046624013,2320.132224212365,1447.0524177125503
aux_loss,sparse,-,65536,256,8,softmax,0,float32,forward,0.2494041633605957,0.9300105285644531,3.72892944541514,874.4994672950156,234.517568673831
aux_loss,sparse,-,65536,256,8,softmax,0,float32,backward_raw,0.045302081108093264,0.14407679557800293,3.1803571062050713,4444.091465017328,1397.3561196466378
aux_loss,sparse,-,65536,384,6,softmax,0,float32,forward,0.23566560745239257,1.4390451049804687,6.106300874942789,1388.2200102791392,227.34222219145818
aux_loss,sparse,-,65536,384,6,softmax,0,float32,backward_raw,0.06320864200592041,0.21737440109252928,3.4389981210507417,4777.667711508725,1389.2615067928475
aux_loss,sparse,-,65536,512,10,softmax,0,float32,forward,0.6362307357788086,1.8885235595703125,2.9682997902617436,685.6122967181697,230.9781171590194
aux_loss,sparse,-,65536,512,10,softmax,0,float32,backward_raw,0.07841311931610108,0.283887996673584,3.6204145320270587,5135.023163366498,1418.3522682115117
aux_loss,sparse,-,65536,512,22,softmax,0,float32,forward,2.4740838623046875,1.9045388793945313,0.7697956032987471,176.3107640149509,229.0358158184064
aux_loss,sparse,-,65536,512,22,softmax,0,float32,backward_raw,0.07886879920959472,0.2835536003112793,3.595256973010739,5105.354563975859,1420.0249390520016
aux_loss,sparse,-,65536,896,16,softmax,0,float32,forward,2.3886032104492188,2.3389013671875,0.9791920888976903,319.5856577017813,326.3768787813122
aux_loss,sparse,-,65536,896,16,softmax,0,float32,backward_raw,0.17846080780029297,0.48200927734375,2.7009251122697133,3948.447172717792,1461.8869493200157
aux_loss,sparse,-,65536,2304,16,softmax,0,float32,forward,8.405546875,4.0712191772460935,0.484349113483005,233.528442728481,482.1490041535403
aux_loss,sparse,-,65536,2304,16,softmax,0,float32,backward_raw,0.7735683441162109,1.1966438293457031,1.546914165306039,2342.313179929966,1514.184324161623
aux_loss,sparse,-,65536,2304,36,softmax,0,float32,forward,45.6408935546875,4.413847045898438,0.09670816458949713,43.008234920904584,444.7218609045491
aux_loss,sparse,-,65536,2304,36,softmax,0,float32,backward_raw,0.773543701171875,1.1968418884277343,1.5472194869075742,2342.387799493441,1513.933749745596
aux_loss,sparse,-,262144,256,8,softmax,0,float32,forward,0.9631212615966797,3.6361767578125,3.7754090817021124,905.8207588042386,239.92651900806914
aux_loss,sparse,-,262144,256,8,softmax,0,float32,backward_raw,0.1630089569091797,0.5651279830932617,3.4668523362683827,4940.258396038174,1424.998216496213
aux_loss,sparse,-,262144,384,6,softmax,0,float32,forward,0.9074262237548828,5.609391479492188,6.1816501800893695,1442.1258871988362,233.29141009043428
aux_loss,sparse,-,262144,384,6,softmax,0,float32,backward_raw,0.23535072326660156,0.8247586822509766,3.5043813369407117,5132.59332809291,1464.6218075609347
aux_loss,sparse,-,262144,512,10,softmax,0,float32,forward,2.4683596801757814,6.547496337890625,2.652569797860396,706.8785307154847,266.48819242595
aux_loss,sparse,-,262144,512,10,softmax,0,float32,backward_raw,0.29774368286132813,1.086063690185547,3.647646458015275,5409.393477376078,1482.9818458665509
aux_loss,sparse,-,262144,512,22,softmax,0,float32,forward,9.64189453125,6.639913330078125,0.6886523502780226,180.9634463792248,262.77910226570236
aux_loss,sparse,-,262144,512,22,softmax,0,float32,backward_raw,0.2937628746032715,1.0870336151123048,3.700377784566379,5482.696675593,1481.6586291433155
aux_loss,sparse,-,262144,896,16,softmax,0,float32,forward,9.302542114257813,8.339544677734375,0.8964801852337254,328.2385905375301,366.1414897329309
aux_loss,sparse,-,262144,896,16,softmax,0,float32,backward_raw,0.6713030242919922,1.8672758483886718,2.781569247893743,4198.658707031274,1509.4568327610675
aux_loss,sparse,-,262144,2304,16,softmax,0,float32,forward,32.97285400390625,15.250870361328126,0.46252806504166655,238.1273118508278,514.838622450675
aux_loss,sparse,-,262144,2304,16,softmax,0,float32,backward_raw,3.040052795410156,4.745827331542968,1.5611003002014225,2384.0892904697566,1527.1852104327618
aux_loss,sparse,-,262144,2304,36,softmax,0,float32,forward,178.4628125,16.691715087890625,0.09353049441541567,43.99648855696477,470.3972627531977
aux_loss,sparse,-,262144,2304,36,softmax,0,float32,backward_raw,3.0404351806640624,4.746021728515625,1.5609679031141344,2383.7894516195593,1527.1226569514297
aux_loss,sparse,-,4096,256,8,sigmoid,0,float32,forward,0.0217411208152771,0.08664480209350586,3.9852960125506547,626.9910422659257,157.32609078256175
aux_loss,sparse,-,4096,256,8,sigmoid,0,float32,backward_raw,0.004615040123462677,0.056643519401550296,12.27367864335067,2726.5011058146565,222.1421291074582
aux_loss,sparse,-,4096,384,6,sigmoid,0,float32,forward,0.02056351900100708,0.1272873592376709,6.1899599592578065,994.3449853596856,160.6383549981655
aux_loss,sparse,-,4096,384,6,sigmoid,0,float32,backward_raw,0.00554144024848938,0.056872320175170896,10.263093640804758,3406.0401544788347,331.8726568894247
aux_loss,sparse,-,4096,512,10,sigmoid,0,float32,forward,0.053643198013305665,0.15307968139648437,2.8536643426537407,508.2280141694328,178.0966340620181
aux_loss,sparse,-,4096,512,10,sigmoid,0,float32,backward_raw,0.006628159880638123,0.05720191955566406,8.630135751969364,3796.8040079288453,439.94719400125643
aux_loss,sparse,-,4096,512,22,sigmoid,0,float32,forward,0.20723424911499022,0.15356032371520997,0.7409987700923044,131.55632390123077,177.539193330703
aux_loss,sparse,-,4096,512,22,sigmoid,0,float32,backward_raw,0.0066323202848434445,0.05677408218383789,8.560214185310269,3794.422301575268,443.2625422021187
aux_loss,sparse,-,4096,896,16,sigmoid,0,float32,forward,0.19834207534790038,0.1767487907409668,0.8911310947560771,240.54506799081472,269.93230222390275
aux_loss,sparse,-,4096,896,16,sigmoid,0,float32,backward_raw,0.012447680234909058,0.05997439861297607,4.818118515350362,3538.0240469618516,734.3165253593965
aux_loss,sparse,-,4096,2304,16,sigmoid,0,float32,forward,0.8426860809326172,0.26380544662475586,0.31305304857153593,145.58611418409083,465.05253613852875
aux_loss,sparse,-,4096,2304,16,sigmoid,0,float32,backward_raw,0.06516448020935059,0.13833439826965332,2.12284971544672,1737.8517811571535,818.6409845745721
aux_loss,sparse,-,4096,2304,36,sigmoid,0,float32,forward,3.912113037109375,0.2846566390991211,0.07276288706357302,31.359879133413198,430.9872848505039
aux_loss,sparse,-,4096,2304,36,sigmoid,0,float32,backward_raw,0.06503488063812256,0.13849344253540039,2.1295255895990284,1741.314920375461,817.7008667471969
