model,format,ab_dtype,sf_dtype,sf_vec_size,direction,activation,ep,total_experts,local_experts,hidden_size,expert_intermediate_size,local_tokens,expert_tokens,min_expert_tokens,max_expert_tokens,padded_expert_tokens,padded_tokens,padding_ratio,median_tflops,mean_tflops,min_tflops,p25_tflops,p75_tflops,situ_throughput_retention,samples,seed,jitter,dynamic_sched,vector_f32,mma_tiler_m
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,2540.8098244689686,2583.6308029836628,2487.6517405140494,2532.8828259003426,2547.4628511798123,0.9915614348364449,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,2519.3690351969863,2533.146514351903,2419.3552057557313,2509.3257816554437,2595.3984050058207,0.9915614348364449,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,1766.7880006102425,1784.475186047622,1614.629421520239,1756.9168646518604,1816.526748051684,0.9650208022281769,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,1704.9871737160129,1692.1734646042714,1568.0522073139468,1697.9113138687487,1716.0246940352063,0.9650208022281769,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5495.067773499683,5526.734811398404,5010.303918527708,5256.740211992456,5741.406543890804,0.9125291060963794,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5014.409283290688,5079.794467770863,4553.7923461772525,4712.672304046597,5497.838350591352,0.9125291060963794,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,3037.354166975506,3009.098937233327,2758.247335134203,2932.85312871403,3052.2618354592164,0.9282519263587949,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2819.4298565289264,2801.5318767211947,2575.6216264374716,2804.157067591659,2831.2319662364566,0.9282519263587949,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,5491.939865566501,5605.8629171936545,5153.25566551641,5352.609156061137,6014.254529034216,0.88573489528194,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,situglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,4864.402781722257,4917.3082422539155,4583.6487248942185,4727.678005003106,4939.309574298841,0.88573489528194,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dswiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,3080.5238915297027,3093.94055344819,2920.7886179477177,3065.518202107564,3128.364896993296,0.9387568249741047,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dsituglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2891.862827669297,2884.646167139416,2731.583434944655,2866.022267882556,2910.8194525618906,0.9387568249741047,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,swiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,5503.855255009802,5576.342855709398,5071.145438223113,5287.800772634816,5726.003069768416,0.8744793838415569,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,forward,situglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,4813.0079521540865,4785.381694462552,4403.164324469459,4654.1216237598255,4972.746917636956,0.8744793838415569,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dswiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,3191.655112757172,3160.2616113733975,2885.2181867021627,3137.080430307585,3202.640334883039,0.9386996686916941,120,1234,0.1,True,False,256
kimi-k3,nvfp4,torch.float4_e2m1fn_x2,torch.float8_e4m3fn,16,backward,dsituglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,2996.005596923309,2992.2655477607054,2894.6999614652736,2977.006787474722,3015.448945407763,0.9386996686916941,120,1234,0.1,True,False,256
