kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,8192,256,32,softmax,0,float32,backward,0.43896128088235853,0.46532960116863253,1.0600698089664558,18662238.235530056
topk,8192,256,32,softmax,4,float32,backward,0.47672319956123826,0.4878297583758831,1.023297709918181,17183975.958249297
topk,8192,256,36,softmax,0,float32,backward,0.3580051176995039,0.4242975988984108,1.185171881410227,22882354.455268033
topk,8192,256,36,softmax,4,float32,backward,0.4874140802025795,0.4904022409021854,1.0061306409087813,16807064.73763588
topk,8192,512,8,softmax,0,float32,backward,0.4478863982111216,0.45081824049353597,1.0065459507011696,18290352.269502304
topk,8192,512,8,softmax,4,float32,backward,0.48076735958456995,0.43009472027421,0.8946005000128417,17039426.318539366
topk,8192,512,32,softmax,0,float32,backward,0.4623420801013708,0.41811648026108744,0.9043444199788463,17718482.380413793
topk,8192,512,32,softmax,4,float32,backward,0.48896575942635534,0.4337932796776295,0.8871649421557594,16753729.360539863
topk,8192,512,36,softmax,0,float32,backward,0.4840873569995165,0.46139744043350217,0.9531284669224753,16922565.48647723
topk,8192,512,36,softmax,4,float32,backward,0.46580288276076315,0.41936543986201286,0.900306664863213,17586838.345539864
topk,8192,2304,8,softmax,0,float32,backward,0.6452320000529289,0.44134143948554994,0.6840042642791219,12696208.494507408
topk,8192,2304,8,softmax,4,float32,backward,0.6942793613672257,0.4528652799129486,0.6522810630883988,11799284.921659943
topk,8192,2304,32,softmax,0,float32,backward,0.6676512011885642,0.42656320095062256,0.6389012708900207,12269879.819607092
topk,8192,2304,32,softmax,4,float32,backward,0.6921071970462799,0.5162499189376831,0.7459103461730979,11836316.736715306
topk,8192,2304,36,softmax,0,float32,backward,0.6663539209961891,0.4019059194624424,0.6031418241849603,12293767.233714305
topk,8192,2304,36,softmax,4,float32,backward,0.6967212808132172,0.4980262413620949,0.714814166119335,11757929.929222558
topk,32768,8,8,softmax,0,float32,backward,0.467297600954771,0.4646028785407543,0.9942333912938759,70122337.31362888
topk,32768,256,8,softmax,0,float32,backward,0.49808223903179166,0.45299135982990263,0.9094710156910233,65788332.59282003
topk,32768,256,8,softmax,4,float32,backward,0.49587872222065926,0.5033606398105621,1.0150882005107964,66080673.62369843
topk,32768,256,32,softmax,0,float32,backward,0.4655612802505493,0.44098175898194314,0.9472045414614843,70383860.06320237
topk,32768,256,32,softmax,4,float32,backward,0.5158902388811112,0.4923990371823311,0.9544647292615401,63517387.09200797
topk,32768,256,36,softmax,0,float32,backward,0.48012319937348363,0.43419967979192736,0.9043505507722138,68249149.47405002
topk,32768,256,36,softmax,4,float32,backward,0.5068454396724701,0.5014278388023377,0.9893111381772847,64650872.70228789
topk,32768,512,8,softmax,0,float32,backward,0.48228319972753525,0.4842633594572544,1.0041058028370837,67943482.20819677
topk,32768,512,8,softmax,4,float32,backward,0.5068348810076714,0.5060044819116593,0.9983615983683657,64652219.5450554
topk,32768,512,32,softmax,0,float32,backward,0.4840723180770874,0.4734816020727158,0.9781216243753789,67692364.9139172
topk,32768,512,32,softmax,4,float32,backward,0.5185718414187431,0.5162419202923775,0.9955070427272116,63188930.41001057
topk,32768,512,36,softmax,0,float32,backward,0.4924358394742012,0.47026432305574417,0.954975827019149,66542679.01172274
topk,32768,512,36,softmax,4,float32,backward,0.5201078376173973,0.5216883194446563,1.0030387579516187,63002319.19232268
topk,32768,2304,8,softmax,0,float32,backward,1.887059201002121,0.5154127994179726,0.27313016949561686,17364585.055200487
topk,32768,2304,8,softmax,4,float32,backward,1.8804134392738343,0.699911037683487,0.37221125049700454,17425955.013730455
topk,32768,2304,32,softmax,0,float32,backward,1.8862019181251526,0.5227679991722107,0.2771537840931854,17372477.296900824
topk,32768,2304,32,softmax,4,float32,backward,1.8837199997901917,0.7079433608055115,0.375821969764276,17395366.616933353
topk,32768,2304,36,softmax,0,float32,backward,1.8849846410751343,0.5279254385828972,0.2800688276599355,17383696.01850453
topk,32768,2304,36,softmax,4,float32,backward,1.8871680009365082,0.7149462413787842,0.3788461022145308,17363583.943633456
topk,131072,8,8,softmax,0,float32,backward,0.48241248086094857,0.4707059217989445,0.9757332997663914,271701096.46848136
topk,131072,256,8,softmax,0,float32,backward,0.5371219193935395,0.49071936070919037,0.913608890255788,244026533.39486212
topk,131072,256,8,softmax,4,float32,backward,0.5457641592621804,0.5381052812933922,0.9859666893862319,240162344.4404933
topk,131072,256,32,softmax,0,float32,backward,0.5426166391372681,0.483443520963192,0.8909485741753915,241555438.12367713
topk,131072,256,32,softmax,4,float32,backward,0.5396371191740036,0.5387046384811401,0.9982720226987151,242889147.80477956
topk,131072,256,36,softmax,0,float32,backward,0.5395065593719482,0.4893574404716492,0.9070463221824795,242947926.62499577
topk,131072,256,36,softmax,4,float32,backward,0.5401359996199608,0.5375017616152763,0.9951230097484004,242664810.5148002
topk,131072,512,8,softmax,0,float32,backward,0.7846143990755081,0.5164991998672486,0.6582841208061271,167052758.8512764
topk,131072,512,8,softmax,4,float32,backward,0.7819823986291885,0.6728694367408753,0.8604662175522266,167615025.90054277
topk,131072,512,32,softmax,0,float32,backward,0.786099841594696,0.5295718404650688,0.6736699493422743,166737089.95298234
topk,131072,512,32,softmax,4,float32,backward,0.7829465591907501,0.6900723212957383,0.8813785732821839,167408616.1582668
topk,131072,512,36,softmax,0,float32,backward,0.7810841560363769,0.5431811219453812,0.6954194599231941,167807782.28190777
topk,131072,512,36,softmax,4,float32,backward,0.7856918400526047,0.703030401468277,0.8947915271987638,166823674.7771547
topk,131072,2304,8,softmax,0,float32,backward,6.618980164527893,1.0364371252059936,0.15658562186972783,19802446.410465844
topk,131072,2304,8,softmax,4,float32,backward,6.618079690933228,1.8050121569633484,0.27273956211742445,19805140.7842019
topk,131072,2304,32,softmax,0,float32,backward,6.622677445411682,1.1360575985908508,0.17154052993747013,19791391.182852972
topk,131072,2304,32,softmax,4,float32,backward,6.626787214279175,1.8741628789901734,0.2828162152168989,19779117.053520374
topk,131072,2304,36,softmax,0,float32,backward,6.625806050300598,1.1514220762252807,0.1737784154084986,19782045.98881272
topk,131072,2304,36,softmax,4,float32,backward,6.621557402610779,1.894891196489334,0.28617001730472164,19794738.915699847
topk,128,8,8,sigmoid,0,float32,backward,0.4872848013043404,0.5141379196941852,1.0551076461198168,262680.058268544
topk,128,256,8,sigmoid,0,float32,backward,0.4421011195331812,0.5253734405338765,1.1883558247683772,289526.52310665126
topk,128,256,8,sigmoid,4,float32,backward,0.4671436807513237,0.508868158608675,1.089318296653921,274005.633115133
topk,128,256,32,sigmoid,0,float32,backward,0.4172124806046486,0.500221439152956,1.1989608710362787,306798.1087586233
topk,128,256,32,sigmoid,4,float32,backward,0.4429808035492897,0.5223577615618705,1.1791882568648342,288951.57301270653
topk,128,256,36,sigmoid,0,float32,backward,0.49484384134411813,0.49766975820064546,1.0057107245163472,258667.46093539405
topk,128,256,36,sigmoid,4,float32,backward,0.4292604821175337,0.5069360031187534,1.1809519493107026,298187.24371872866
topk,128,512,8,sigmoid,0,float32,backward,0.4390470378100872,0.5006835208833218,1.140386969425121,291540.5161106389
topk,128,512,8,sigmoid,4,float32,backward,0.44587328016757966,0.5073833572864532,1.137954167371849,287077.0815239068
topk,128,512,32,sigmoid,0,float32,backward,0.39017439931631087,0.5125494426488877,1.313641908713156,328058.4277807308
topk,128,512,32,sigmoid,4,float32,backward,0.4513910383731127,0.5015452794730664,1.1111104050286815,283567.8804376201
topk,128,512,36,sigmoid,0,float32,backward,0.48564127936959267,0.5133852803707123,1.0571285888982376,263569.02808211825
topk,128,512,36,sigmoid,4,float32,backward,0.44585087984800337,0.5223276795446873,1.1715299961340346,287091.5047731586
topk,128,2304,8,sigmoid,0,float32,backward,0.44151775874197485,0.5190652780234813,1.1756385054645688,289909.0636007777
topk,128,2304,8,sigmoid,4,float32,backward,0.4849801576137543,0.5345913578569889,1.1022953196422227,263928.3236448226
topk,128,2304,32,sigmoid,0,float32,backward,0.2465283200889826,0.5262374398112297,2.1345922432817788,519210.12544846506
topk,128,2304,32,sigmoid,4,float32,backward,0.42045632131397725,0.5066255994141102,1.2049422823061464,304431.1466170479
topk,128,2304,36,sigmoid,0,float32,backward,0.49505088150501253,0.5104908812046051,1.031188712668591,258559.28103968836
topk,128,2304,36,sigmoid,4,float32,backward,0.4507801570743322,0.48990816026926043,1.086800633481469,283952.16158304235
topk,8192,8,8,sigmoid,0,float32,backward,0.456038079559803,0.524671361297369,1.1504990149151912,17963412.195550513
topk,8192,256,8,sigmoid,0,float32,backward,0.4497289598733187,0.4972787210345268,1.1057298181878306,18215415.79690032
topk,8192,256,8,sigmoid,4,float32,backward,0.4720915202796459,0.49960416063666346,1.058278192204597,17352567.559670262
topk,8192,256,32,sigmoid,0,float32,backward,0.44442751705646516,0.4913148806989193,1.1055005863565759,18432702.039372586
topk,8192,256,32,sigmoid,4,float32,backward,0.48915135994553566,0.49901664316654204,1.0201681606734259,16747372.430717833
topk,8192,256,36,sigmoid,0,float32,backward,0.44716000072658063,0.5165379193425178,1.1551523358601092,18320064.376708552
topk,8192,256,36,sigmoid,4,float32,backward,0.4722396793961525,0.5083417592942715,1.0764486371502757,17347123.415116277
topk,8192,512,8,sigmoid,0,float32,backward,0.4476262417435646,0.4926063968241215,1.1004859654906582,18300982.462715
topk,8192,512,8,sigmoid,4,float32,backward,0.48396736100316046,0.510831039994955,1.0555072121725564,16926761.30683636
topk,8192,512,32,sigmoid,0,float32,backward,0.4905593593418598,0.5113872003555298,1.0424573308347695,16699304.261548458
topk,8192,512,32,sigmoid,4,float32,backward,0.4762345606088638,0.5057420805096626,1.0619600556983382,17201607.52198783
topk,8192,512,36,sigmoid,0,float32,backward,0.4872716787457466,0.5155110400915146,1.057954037916706,16811976.474985123
topk,8192,512,36,sigmoid,4,float32,backward,0.47274495899677277,0.5335622410476207,1.12864712969105,17328582.450428464
topk,8192,2304,8,sigmoid,0,float32,backward,0.656979838013649,0.508031038492918,0.7732825409512238,12469180.218327807
topk,8192,2304,8,sigmoid,4,float32,backward,0.6867280006408691,0.5447907197475433,0.793313683494969,11929031.57051271
topk,8192,2304,32,sigmoid,0,float32,backward,0.6796057620644569,0.4932473593950272,0.7257845458765333,12054047.298120221
topk,8192,2304,32,sigmoid,4,float32,backward,0.7014755189418793,0.539648959338665,0.7693054779056053,11678240.763636325
topk,8192,2304,36,sigmoid,0,float32,backward,0.671004801094532,0.5154960010945797,0.7682448773149032,12208556.461350715
topk,8192,2304,36,sigmoid,4,float32,backward,0.6975308799743652,0.5410185608267785,0.7756195121378157,11744282.920207148
topk,32768,8,8,sigmoid,0,float32,backward,0.47276608042418955,0.5097315210103989,1.0781897054734597,69311233.09565462
topk,32768,256,8,sigmoid,0,float32,backward,0.5035174429416657,0.48040031880140305,0.954088732248863,65078182.41322832
topk,32768,256,8,sigmoid,4,float32,backward,0.5067372798919678,0.5311171191930771,1.0481113986843575,64664672.011078134
topk,32768,256,32,sigmoid,0,float32,backward,0.485863678753376,0.48340960159897806,0.9949490417544802,67442785.7708479
topk,32768,256,32,sigmoid,4,float32,backward,0.5052451169490815,0.5422928032279014,1.073326163946981,64855649.071621515
topk,32768,256,36,sigmoid,0,float32,backward,0.49133471831679343,0.53460384324193,1.0880644564938688,66691806.57995446
topk,32768,256,36,sigmoid,4,float32,backward,0.5169983997941017,0.5491135993599892,1.0621185666699888,63381240.66351094
topk,32768,512,8,sigmoid,0,float32,backward,0.49268543899059297,0.5359590378403664,1.087832104270083,66508967.80537014
topk,32768,512,8,sigmoid,4,float32,backward,0.5168556833267212,0.5557187202572823,1.0751912732784918,63398741.77079773
topk,32768,512,32,sigmoid,0,float32,backward,0.4861952017247677,0.5414166396856308,1.1135787390845615,67396798.41297524
topk,32768,512,32,sigmoid,4,float32,backward,0.5138345614075661,0.5521705606579781,1.0746076697242724,63771498.57385498
topk,32768,512,36,sigmoid,0,float32,backward,0.46450879946351054,0.5540345600247383,1.192732108981846,70543335.32076411
topk,32768,512,36,sigmoid,4,float32,backward,0.5149923202395439,0.5480416017770767,1.064174319186275,63628133.2986835
topk,32768,2304,8,sigmoid,0,float32,backward,1.8527811193466186,0.6892377614974976,0.37200171909165214,17685845.16424455
topk,32768,2304,8,sigmoid,4,float32,backward,1.857506240606308,0.6922886401414872,0.37269788117401825,17640855.940976113
