rank,sync_type,n,min,p5,p25,median,p75,p95,max
69,bwd_post_dispatch,288,26,32,35,37,38,42,69
69,bwd_post_combine,300,4,7,21,33,43,84,305
69,fwd_pre_dispatch,288,42,56,64,71,77,106,167
69,fwd_pre_combine,268,6,13,23,33,43,86,133
70,bwd_pre_dispatch,288,36,48,65,85,101,154,1032
70,bwd_pre_combine,300,22,59,76,88,98,136,214
70,bwd_post_dispatch,288,23,32,34,36,38,42,68
70,bwd_post_combine,300,7,18,31,38,45,107,296
70,fwd_pre_dispatch,288,22,32,41,48,55,85,148
70,fwd_pre_combine,276,8,17,31,38,45,97,139
71,bwd_pre_dispatch,288,34,42,53,65,90,137,936
71,bwd_pre_combine,300,27,69,96,107,120,140,213
71,bwd_post_dispatch,288,9,30,32,34,36,39,60
71,bwd_post_combine,300,15,29,38,45,50,112,304
71,fwd_pre_dispatch,288,31,43,51,57,62,87,150
71,fwd_pre_combine,276,7,22,34,41,48,100,137
